Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2023:Q3,BabyBoom,78636951,21793527,18827628,2965899,56843424,6126554,2138976,3064185,3064185,0,728435,700128,28307,20045810,950807,1252227,4559688,9228020,8080285,668438,4569393,4552012,2809300,1052172,126385,564155,17380,74067558,41296659
2023:Q3,GenX,43617667,15689770,13456778,2232992,27927897,3568345,693681,688095,688095,0,145910,128834,17076,7587281,622769,1210762,3838182,5180409,4009550,382912,6931848,6919784,4999417,1714561,105488,100318,12065,36685818,35134362
2023:Q3,Millennial,20204195,10005841,8217556,1788286,10198354,1902237,135882,290135,290135,0,42189,27823,14366,2639303,228891,274276,1146882,1376202,1881291,281068,6888883,6883614,4709131,2055360,68505,50619,5269,13315312,43704100
2023:Q4,Silent,20436669,5406311,4582195,824116,15030358,1941966,710893,933020,933020,0,136720,123986,12734,7224064,237161,31981,285835,1180079,2101025,247615,557166,553188,408566,104234,16675,23713,3978,19879503,11707072
2023:Q4,BabyBoom,81212793,21617675,18650318,2967358,59595118,6162958,2256558,3327190,3327190,0,749172,721005,28167,21891087,963242,1087478,4887024,9669346,7917390,683674,4542614,4524914,2776199,1059433,126396,562887,17700,76670179,41238302
2023:Q4,GenX,44784137,15588033,13349601,2238432,29196104,3591868,738467,728704,728704,0,146870,129860,17011,8424193,630356,1161080,4205651,5234168,3942373,392375,6953709,6941317,5007846,1727484,105599,100387,12392,37830429,35078539
2023:Q4,Millennial,20674732,10041101,8214435,1826666,10633631,1941317,142825,287951,287951,0,45655,31221,14434,2977301,229716,271402,1271545,1346477,1827522,291920,7059530,7054227,4836789,2097075,69421,50942,5303,13615202,44156600
2024:Q1,Silent,20697230,5361272,4551289,809983,15335958,1921489,708506,899368,899368,0,133337,121012,12325,7674302,237804,28215,296102,1161360,2030324,245151,541369,537289,396228,99483,16574,25003,4080,20155861,11433416
2024:Q1,BabyBoom,84073423,22084363,19092079,2992284,61989059,6278299,2306843,3265511,3265511,0,749313,721294,28019,23762937,991339,1145693,5135652,9789806,7869684,693982,4508485,4490044,2723780,1042261,127750,596253,18441,79564937,41303417
2024:Q1,GenX,46244906,15823410,13567087,2256322,30421497,3663261,755721,720061,720061,0,147239,130312,16927,9257344,646773,1178872,4476435,5257901,3919850,398040,6914429,6901306,4986098,1707890,107687,99630,13124,39330477,35078384
